	=subtotal(109,B3:B3)										Total	Unique	Corrected	
8.01	1	CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	redundant	5.0	458	49644	KERATIN, TYPE I CYTOSKELETAL 13 (CYTOKERATIN 13) (K13) (CK 13) [Homo sapiens].	2	0	0.000	2	0	0.000	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
9.0	1	CONT_064|gi|254622|bbs|112352	contaminant	25.1	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	18	9	0.500	18	9	14.592	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE
9.01	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	redundant	25.1	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	18	9	0.500	18	9	14.592	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE
10.0	1	CONT_068|gi|1082558|pir||S41161	contaminant	32.6	623	62129	keratin 9, cytoskeletal [Homo sapiens].	36	35	0.972	36	35	35.636	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313
10.01	1	CONT_105|gi|547748|sp|P35527|K1CI_HUMAN	redundant	32.6	622	61987	KERATIN, TYPE I CYTOSKELETAL 9 (CYTOKERATIN 9) (K9) (CK 9) [Homo sapiens].	36	35	0.972	36	35	35.636	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313
11.0	1	CONT_073|gi|87303|pir||JS0487	contaminant	7.5	482	53561	cytokeratin 8 (version 1) [Homo sapiens].	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
11.01	1	CONT_103|gi|2119212|pir||I37982	redundant	7.5	483	53704	Keratin 8 - human [Homo sapiens].	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
11.02	1	CONT_120|gi|125108|sp|P08729|K2C7_HUMAN	redundant	7.7	469	51334	KERATIN, TYPE II CYTOSKELETAL 7 (CYTOKERATIN 7) (K7) (CK 7) [Homo sapiens].	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
11.03	1	CONT_124|gi|105815|pir||A34720	redundant	7.5	483	53748	cytokeratin 8 (version 2) [Homo sapiens].	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
11.04	1	CONT_140|gi|88045|pir||S05602	redundant	7.7	469	51364	keratin K7, type II, epithelial, 55K [Homo sapiens].	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
11.05	1	CONT_141|gi|88049|pir||B24177	redundant	7.4	489	53806	keratin, 55K type II cytoskeletal (fragment) [Homo sapiens].	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
11.06	1	CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	redundant	7.5	483	53674	KERATIN, TYPE II CYTOSKELETAL 8 (CYTOKERATIN 8) (K8) (CK 8) [Homo sapiens].	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
11.07	1	sp|Q9DCV7|K2C7_MOUSE	redundant	7.9	457	50708	Keratin, type II cytoskeletal 7 OS=Mus musculus OX=10090 GN=Krt7 PE=1 SV=1	20	0	0.000	20	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P15331|PERI_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
12.0	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	contaminant	16.9	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	8	4	0.500	8	4	4.990	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
13.0	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	contaminant	51.2	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	71	25	0.352	71	25	65.753	CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
14.0	1	CONT_089|gi|71536|pir||KRHU2	contaminant	26.8	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	32	0	0.000	32	0	0.500	CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
15.0	1	CONT_092|gi|71528|pir||KRHU0	contaminant	33.7	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	28	6	0.214	28	6	20.811	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
15.01	1	CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	redundant	33.7	593	59518	KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens].	28	6	0.214	28	6	20.811	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
16.0	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	contaminant	7.9	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	3	1	0.333	3	1	1.066	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
16.01	1	sp|Q9QWL7|K1C17_MOUSE	redundant	7.9	433	48161	Keratin, type I cytoskeletal 17 OS=Mus musculus OX=10090 GN=Krt17 PE=1 SV=3	3	1	0.333	3	1	1.066	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
17.0	1	CONT_102|gi|88044|pir||S01068	contaminant	6.6	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	3	0	0.000	3	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE
17.01	1	CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	redundant	5.1	534	57265	KERATIN, TYPE II CYTOSKELETAL 4 (CYTOKERATIN 4) (K4) (CK4) [Homo sapiens].	3	0	0.000	3	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE
18.0	1	CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN	contaminant	14.4	564	60044	KERATIN, TYPE II CYTOSKELETAL 6A (CYTOKERATIN 6A) (CK 6A) (K6A KERATIN) [Homo sapiens].	11	1	0.091	11	1	2.063	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P20152|VIME_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
18.01	1	CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN	redundant	14.4	564	60199	KERATIN, TYPE II CYTOSKELETAL 6C (CYTOKERATIN 6C) (CK 6C) (K6C KERATIN) [Homo sapiens].	11	1	0.091	11	1	2.063	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P20152|VIME_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
18.02	1	CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN	redundant	14.4	564	60222	KERATIN, TYPE II CYTOSKELETAL 6E (CYTOKERATIN 6E) (CK 6E) (K6E KERATIN) [Homo sapiens].	11	1	0.091	11	1	2.063	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P20152|VIME_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
19.0	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	contaminant	17.7	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	13	2	0.154	13	2	4.192	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|P20152|VIME_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE
20.0	1	CONT_143|gi|88054|pir||A22940	contaminant	39.0	643	65493	keratin, 67K type II cytoskeletal [Homo sapiens].	45	3	0.067	45	3	7.410	CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE
21.0	1	CONT_156|gi|1363944|pir||JC4313	contaminant	27.9	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	11	7	0.636	11	7	8.733	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE
22.0	1	REV_A0A087WR13	reversed	0.6	4024	462044	REVERSED.	2	1	0.500	2	1	1.037	REV_A0A087WR13, sp|Q9CZU3|MTREX_MOUSE
22.01	1	REV_E9Q0T8	redundant	0.6	4024	460898	REVERSED.	2	1	0.500	2	1	1.037	REV_A0A087WR13, sp|Q9CZU3|MTREX_MOUSE
22.02	1	REV_L7N1Y0	redundant	0.6	4068	466685	REVERSED.	2	1	0.500	2	1	1.037	REV_A0A087WR13, sp|Q9CZU3|MTREX_MOUSE
23.0	1	REV_A0A1B0GRY3	reversed	1.5	1923	215498	REVERSED.	2	2	1.000	2	2	2.000	 
24.0	1	REV_A0A1Y7VN40	reversed	2.3	1110	124154	REVERSED.	3	3	1.000	3	3	3.000	 
25.0	1	REV_A2ARZ3	reversed	0.7	6995	784848	REVERSED.	3	3	1.000	3	3	3.000	 
26.0	1	REV_B1AR69	reversed	1.5	1938	223559	REVERSED.	2	2	1.000	2	2	2.000	 
27.0	1	REV_E9PWQ3	reversed	1.1	3284	353927	REVERSED.	5	5	1.000	5	5	5.000	 
28.0	1	REV_E9PZJ8	reversed	0.9	2198	250554	REVERSED.	2	2	1.000	2	2	2.000	 
29.0	1	REV_E9Q3P4	reversed	1.2	2997	342468	REVERSED.	2	2	1.000	2	2	2.000	 
30.0	1	REV_E9Q4Y4	reversed	0.8	2514	276338	REVERSED.	2	2	1.000	2	2	2.000	 
31.0	1	REV_J3QML9	reversed	8.5	246	26924	REVERSED.	2	2	1.000	2	2	2.000	 
32.0	1	REV_O35551	reversed	3.7	862	99523	REVERSED.	3	3	1.000	3	3	3.000	 
33.0	1	REV_P24860	reversed	5.6	430	48051	REVERSED.	2	2	1.000	2	2	2.000	 
