Program "PAW_protein_grouper.py" run on Fri Feb  8 15:55:01 2019


	=SUBTOTAL(109,B6:B5432)													Total	Unique	Corrected
16	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN (+1)	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN&sp|Q9QWL7|K1C17_MOUSE	 	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE	contaminant	7.9	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	3	1	0.333	3	1	1.044
17	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE	contaminant	6.6	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	3	0	0.000	3	0	0.000
20	1	CONT_143|gi|88054|pir||A22940	 	 	CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE	contaminant	39.0	643	65493	keratin, 67K type II cytoskeletal [Homo sapiens].	45	3	0.067	45	3	7.401
21	1	CONT_156|gi|1363944|pir||JC4313	 	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE	contaminant	27.9	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	11	7	0.636	11	7	8.582
22	1	REV_A0A087WR13 (+2)	REV_A0A087WR13&REV_E9Q0T8&REV_L7N1Y0	 	REV_A0A087WR13, sp|Q9CZU3|MTREX_MOUSE	reversed	0.6	4024	462044	REVERSED.	2	1	0.500	2	1	1.037
23	1	REV_A0A1B0GRY3	 	 	 	reversed	1.5	1923	215498	REVERSED.	2	2	1.000	2	2	2.000
24	1	REV_A0A1Y7VN40	 	 	 	reversed	2.3	1110	124154	REVERSED.	3	3	1.000	3	3	3.000
25	1	REV_A2ARZ3	 	 	 	reversed	0.7	6995	784848	REVERSED.	3	3	1.000	3	3	3.000
26	1	REV_B1AR69	 	 	 	reversed	1.5	1938	223559	REVERSED.	2	2	1.000	2	2	2.000
27	1	REV_E9PWQ3	 	 	 	reversed	1.1	3284	353927	REVERSED.	5	5	1.000	5	5	5.000
28	1	REV_E9PZJ8	 	 	 	reversed	0.9	2198	250554	REVERSED.	2	2	1.000	2	2	2.000
29	1	REV_E9Q3P4	 	 	 	reversed	1.2	2997	342468	REVERSED.	2	2	1.000	2	2	2.000
30	1	REV_E9Q4Y4	 	 	 	reversed	0.8	2514	276338	REVERSED.	2	2	1.000	2	2	2.000
31	1	REV_J3QML9	 	 	 	reversed	8.5	246	26924	REVERSED.	2	2	1.000	2	2	2.000
32	1	REV_O35551	 	 	 	reversed	3.7	862	99523	REVERSED.	3	3	1.000	3	3	3.000
33	1	REV_P24860	 	 	 	reversed	5.6	430	48051	REVERSED.	2	2	1.000	2	2	2.000
34	1	REV_P28481	 	 	 	reversed	2.0	1487	141972	REVERSED.	2	2	1.000	2	2	2.000
35	1	REV_P32261	 	 	 	reversed	6.0	465	52003	REVERSED.	2	2	1.000	2	2	2.000
36	1	REV_P33175	 	 	 	reversed	2.1	1027	117017	REVERSED.	2	2	1.000	2	2	2.000
37	1	REV_P62264	 	 	 	reversed	20.5	151	16273	REVERSED.	2	2	1.000	2	2	2.000
38	1	REV_P84091	 	 	REV_P84091, sp|Q7TNV0|DEK_MOUSE	reversed	3.7	435	49654	REVERSED.	3	2	0.667	3	2	2.062
39	1	REV_Q2QI47	 	 	 	reversed	0.8	5193	569654	REVERSED.	3	3	1.000	3	3	3.000
40	1	REV_Q2VPD4	 	 	 	reversed	2.9	579	64398	REVERSED.	2	2	1.000	2	2	2.000
41	1	REV_Q3UV55	 	 	 	reversed	2.4	615	66801	REVERSED.	2	2	1.000	2	2	2.000
42	1	REV_Q5DTN8	 	 	 	reversed	2.8	844	98714	REVERSED.	2	2	1.000	2	2	2.000
43	1	REV_Q5QNQ6	 	 	 	reversed	2.2	908	101352	REVERSED.	2	2	1.000	2	2	2.000
44	1	REV_Q5SUF7	 	 	 	reversed	1.2	2381	262830	REVERSED.	2	2	1.000	2	2	2.000
45	1	REV_Q5XJV6	 	 	 	reversed	2.5	1424	150889	REVERSED.	2	2	1.000	2	2	2.000
46	1	REV_Q6P5H2	 	 	 	reversed	1.3	1864	207122	REVERSED.	2	2	1.000	2	2	2.000
47	1	REV_Q6ZWQ0	 	 	 	reversed	0.6	6874	782716	REVERSED.	3	3	1.000	3	3	3.000
48	1	REV_Q6ZWR6	 	 	 	reversed	0.4	8799	1009914	REVERSED.	3	3	1.000	3	3	3.000
49	1	REV_Q8BL66	 	 	 	reversed	1.8	1411	160913	REVERSED.	2	2	1.000	2	2	2.000
50	1	REV_Q8BW72	 	 	 	reversed	1.5	1064	120333	REVERSED.	2	2	1.000	2	2	2.000
51	1	REV_Q8CCJ3	 	 	 	reversed	3.2	793	89519	REVERSED.	2	2	1.000	2	2	2.000
52	1	REV_Q8K214	 	 	 	reversed	4.0	706	78668	REVERSED.	2	2	1.000	2	2	2.000
53	1	REV_Q8K4E0	 	 	 	reversed	0.6	3251	360211	REVERSED.	2	2	1.000	2	2	2.000
54	1	REV_Q8R0S2	 	 	 	reversed	2.4	961	108014	REVERSED.	2	2	1.000	2	2	2.000
55	1	REV_Q8R1A4	 	 	 	reversed	1.2	2130	241436	REVERSED.	2	2	1.000	2	2	2.000
56	1	REV_Q8R4H2	 	 	 	reversed	1.2	1543	172347	REVERSED.	4	4	1.000	4	4	4.000
57	1	REV_Q8R554	 	 	 	reversed	2.5	926	100796	REVERSED.	2	2	1.000	2	2	2.000
58	1	REV_Q91XQ0	 	 	 	reversed	0.5	4731	541232	REVERSED.	2	2	1.000	2	2	2.000
59	1	REV_Q9CS84	 	 	 	reversed	1.8	1514	166167	REVERSED.	3	3	1.000	3	3	3.000
60	1	REV_Q9QY33	 	 	 	reversed	10.3	253	28048	REVERSED.	3	3	1.000	3	3	3.000
61	1	sp|A0A0B4J1G0|FCGR4_MOUSE	 	 	 	 	13.7	249	28398	Low affinity immunoglobulin gamma Fc region receptor IV OS=Mus musculus OX=10090 GN=Fcgr4 PE=1 SV=1	3	3	1.000	3	3	3.000
62	1	sp|A1L314|MPEG1_MOUSE	 	 	 	 	25.4	713	78390	Macrophage-expressed gene 1 protein OS=Mus musculus OX=10090 GN=Mpeg1 PE=1 SV=1	34	34	1.000	34	34	34.000
63	1	sp|A2A432|CUL4B_MOUSE	 	 	sp|A2A432|CUL4B_MOUSE, sp|Q3TCH7|CUL4A_MOUSE	 	15.2	970	110698	Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1	14	9	0.643	14	9	11.812
64	1	sp|A2A4P0|DHX8_MOUSE	 	 	sp|A2A4P0|DHX8_MOUSE, sp|O35286|DHX15_MOUSE, tr|G3X8X0|G3X8X0_MOUSE	 	4.1	1244	142570	ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1	5	3	0.600	5	3	3.082
65	1	sp|A2A5R2|BIG2_MOUSE	 	 	sp|A2A5R2|BIG2_MOUSE, sp|G3X9K3|BIG1_MOUSE	 	15.3	1792	202237	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1	26	16	0.615	26	16	21.000
66	1	sp|A2A6A1|GPTC8_MOUSE	 	 	 	 	2.2	1505	164985	G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1	5	5	1.000	5	5	5.000
67	1	sp|A2A6Q5|CDC27_MOUSE	 	 	 	 	5.1	825	91841	Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1	4	4	1.000	4	4	4.000
68	1	sp|A2A791|ZMYM4_MOUSE	 	 	 	 	1.4	1549	172436	Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4 PE=1 SV=1	2	2	1.000	2	2	2.000
69	1	sp|A2A8U2|TM201_MOUSE	 	 	 	 	4.1	664	72499	Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1	2	2	1.000	2	2	2.000
70	1	sp|A2A8Z1|OSBL9_MOUSE	 	 	 	 	11.4	736	83108	Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1	7	7	1.000	7	7	7.000
71	1	sp|A2AAY5|SPD2B_MOUSE	 	 	 	 	9.3	908	101516	SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1	10	10	1.000	10	10	10.000
72	1	sp|A2AB59|RHG27_MOUSE	 	 	 	 	4.6	869	97047	Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27 PE=1 SV=1	4	4	1.000	4	4	4.000
73	1	sp|A2ABU4|MYOM3_MOUSE	 	 	sp|A2ABU4|MYOM3_MOUSE, sp|Q3UIA2|RHG17_MOUSE	 	1.5	1439	161776	Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1	2	1	0.500	2	1	1.067
74	1	sp|A2ABV5|MED14_MOUSE	 	 	 	 	4.0	1459	160964	Mediator of RNA polymerase II transcription subunit 14 OS=Mus musculus OX=10090 GN=Med14 PE=1 SV=1	5	5	1.000	5	5	5.000
75	1	sp|A2ADY9|DDI2_MOUSE	 	 	 	 	29.8	399	44590	Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1	13	13	1.000	13	13	13.000
76	1	sp|A2AF47|DOC11_MOUSE	 	 	sp|A2AF47|DOC11_MOUSE, sp|Q8BZN6|DOC10_MOUSE	 	13.6	2073	237769	Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1	28	26	0.929	28	26	26.881
77	1	sp|A2AG58|BCLA3_MOUSE	 	 	 	 	2.8	752	90110	BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1	2	2	1.000	2	2	2.000
78	1	sp|A2AGH6|MED12_MOUSE	 	 	 	 	3.6	2190	244558	Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12 PE=1 SV=1	6	6	1.000	6	6	6.000
79	1	sp|A2AGT5|CKAP5_MOUSE	 	 	 	 	14.6	2032	225632	Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1	31	31	1.000	31	31	31.000
80	1	sp|A2AIG8|1A1L1_MOUSE	 	 	 	 	4.4	502	56878	1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs PE=2 SV=1	2	2	1.000	2	2	2.000
81	1	sp|A2AIV2|VIR_MOUSE	 	 	 	 	6.6	1811	201437	Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma PE=1 SV=1	8	8	1.000	8	8	8.000
82	1	sp|A2AIV8|CARD9_MOUSE	 	 	 	 	18.3	536	62461	Caspase recruitment domain-containing protein 9 OS=Mus musculus OX=10090 GN=Card9 PE=1 SV=1	11	11	1.000	11	11	11.000
83	1	sp|A2AJ15|MA1B1_MOUSE	 	 	 	 	11.9	658	75149	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Mus musculus OX=10090 GN=Man1b1 PE=1 SV=1	7	7	1.000	7	7	7.000
84	1	sp|A2AJ88|PLPL7_MOUSE	 	 	 	 	8.5	1352	150493	Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7 PE=1 SV=1	8	8	1.000	8	8	8.000
85	1	sp|A2AJI0|MA7D1_MOUSE	 	 	 	 	7.1	846	93275	MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1	5	5	1.000	5	5	5.000
86	1	sp|A2AJK6|CHD7_MOUSE	 	 	sp|A2AJK6|CHD7_MOUSE, sp|E9PZM4|CHD2_MOUSE, sp|P40201|CHD1_MOUSE, sp|Q09XV5|CHD8_MOUSE, sp|Q8BYH8|CHD9_MOUSE	 	1.4	2986	334057	Chromodomain-helicase-DNA-binding protein 7 OS=Mus musculus OX=10090 GN=Chd7 PE=1 SV=1	5	1	0.200	5	1	1.338
87	1	sp|A2AL36|CNTRL_MOUSE	 	 	 	 	3.4	2334	268876	Centriolin OS=Mus musculus OX=10090 GN=Cntrl PE=1 SV=2	6	6	1.000	6	6	6.000
88	1	sp|A2ALW5|DJC25_MOUSE	 	 	sp|A2ALW5|DJC25_MOUSE, tr|G3UZK1|G3UZK1_MOUSE	 	6.7	357	41937	DnaJ homolog subfamily C member 25 OS=Mus musculus OX=10090 GN=Dnajc25 PE=1 SV=1	2	1	0.500	2	1	1.333
89	1	sp|A2AN08|UBR4_MOUSE	 	 	 	 	11.0	5180	572283	E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1	51	51	1.000	51	51	51.000
90	1	sp|A2APB8|TPX2_MOUSE	 	 	 	 	4.4	745	85893	Targeting protein for Xklp2 OS=Mus musculus OX=10090 GN=Tpx2 PE=1 SV=1	4	4	1.000	4	4	4.000
91	1	sp|A2APV2|FMNL2_MOUSE	 	 	sp|A2APV2|FMNL2_MOUSE, sp|Q6ZPF4|FMNL3_MOUSE, sp|Q9JL26|FMNL1_MOUSE	 	13.4	1086	123100	Formin-like protein 2 OS=Mus musculus OX=10090 GN=Fmnl2 PE=1 SV=2	20	8	0.400	20	8	13.668
93	1	sp|A2AQ19|RTF1_MOUSE	 	 	 	 	13.4	715	80796	RNA polymerase-associated protein RTF1 homolog OS=Mus musculus OX=10090 GN=Rtf1 PE=1 SV=1	10	10	1.000	10	10	10.000
94	1	sp|A2AR02|PPIG_MOUSE	 	 	 	 	10.6	752	88324	Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus OX=10090 GN=Ppig PE=1 SV=1	12	12	1.000	12	12	12.000
95	1	sp|A2ASS6|TITIN_MOUSE	 	 	 	 	5.2	35213	3906440	Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1	148	148	1.000	148	148	148.000
96	1	sp|A2AVZ9|S43A3_MOUSE	 	 	 	 	5.0	502	56033	Solute carrier family 43 member 3 OS=Mus musculus OX=10090 GN=Slc43a3 PE=1 SV=1	2	2	1.000	2	2	2.000
97	1	sp|A2AWA9|RBGP1_MOUSE	 	 	 	 	4.3	1064	120796	Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1	4	4	1.000	4	4	4.000
98	1	sp|A2AWL7|MGAP_MOUSE	 	 	 	 	1.9	3003	328798	MAX gene-associated protein OS=Mus musculus OX=10090 GN=Mga PE=2 SV=1	3	3	1.000	3	3	3.000
99	1	sp|A2BDX3|MOCS3_MOUSE	 	 	 	 	28.5	460	49374	Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus OX=10090 GN=Mocs3 PE=1 SV=1	11	11	1.000	11	11	11.000
100	1	sp|A2BE28|LAS1L_MOUSE	 	 	 	 	16.1	776	89413	Ribosomal biogenesis protein LAS1L OS=Mus musculus OX=10090 GN=Las1l PE=1 SV=1	11	11	1.000	11	11	11.000
101	1	sp|A2BH40|ARI1A_MOUSE	 	 	sp|A2BH40|ARI1A_MOUSE, sp|E9Q4N7|ARI1B_MOUSE, sp|P10107|ANXA1_MOUSE	 	10.8	2283	242089	AT-rich interactive domain-containing protein 1A OS=Mus musculus OX=10090 GN=Arid1a PE=1 SV=1	28	20	0.714	28	20	21.619
102	1	sp|A2RSJ4|UH1BL_MOUSE	 	 	 	 	5.5	1457	161938	UHRF1-binding protein 1-like OS=Mus musculus OX=10090 GN=Uhrf1bp1l PE=1 SV=2	11	11	1.000	11	11	11.000
103	1	sp|A2RSY6|TRM1L_MOUSE	 	 	 	 	2.6	728	80860	TRMT1-like protein OS=Mus musculus OX=10090 GN=Trmt1l PE=1 SV=1	2	2	1.000	2	2	2.000
104	1	sp|A2RT60|HTRA4_MOUSE	 	 	sp|A2RT60|HTRA4_MOUSE, sp|Q9JIY5|HTRA2_MOUSE	 	5.6	483	51987	Serine protease HTRA4 OS=Mus musculus OX=10090 GN=Htra4 PE=2 SV=1	3	2	0.667	3	2	2.222
105	1	sp|A2RT67|DEND3_MOUSE	 	 	 	 	5.6	1274	143887	DENN domain-containing protein 3 OS=Mus musculus OX=10090 GN=Dennd3 PE=1 SV=2	5	5	1.000	5	5	5.000
106	1	sp|A2RTL5|RSRC2_MOUSE	 	 	 	 	7.4	376	43876	Arginine/serine-rich coiled-coil protein 2 OS=Mus musculus OX=10090 GN=Rsrc2 PE=2 SV=1	2	2	1.000	2	2	2.000
107	1	sp|A3KGB4|TBC8B_MOUSE	 	 	sp|A3KGB4|TBC8B_MOUSE, sp|O08585|CLCA_MOUSE	 	3.8	1114	127891	TBC1 domain family member 8B OS=Mus musculus OX=10090 GN=Tbc1d8b PE=1 SV=1	4	3	0.750	4	3	3.176
108	1	sp|A3KGF7|PLCB2_MOUSE	 	 	 	 	18.0	1181	134545	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 OS=Mus musculus OX=10090 GN=Plcb2 PE=1 SV=1	21	21	1.000	21	21	21.000
109	1	sp|A3KGV1|ODFP2_MOUSE	 	 	 	 	5.8	830	95540	Outer dense fiber protein 2 OS=Mus musculus OX=10090 GN=Odf2 PE=1 SV=1	3	3	1.000	3	3	3.000
110	1	sp|A3KMP2|TTC38_MOUSE	 	 	 	 	9.2	465	52223	Tetratricopeptide repeat protein 38 OS=Mus musculus OX=10090 GN=Ttc38 PE=1 SV=2	4	4	1.000	4	4	4.000
111	1	sp|A6H584|CO6A5_MOUSE	 	 	 	 	1.4	2640	289571	Collagen alpha-5(VI) chain OS=Mus musculus OX=10090 GN=Col6a5 PE=1 SV=4	3	3	1.000	3	3	3.000
112	1	sp|A6H5Y3|METH_MOUSE	 	 	 	 	3.0	1253	139067	Methionine synthase OS=Mus musculus OX=10090 GN=Mtr PE=1 SV=1	3	3	1.000	3	3	3.000
113	1	sp|A6H611|MIPEP_MOUSE	 	 	 	 	4.1	711	80851	Mitochondrial intermediate peptidase OS=Mus musculus OX=10090 GN=Mipep PE=1 SV=1	3	3	1.000	3	3	3.000
114	1	sp|A6H619|PHRF1_MOUSE	 	 	 	 	2.4	1682	184078	PHD and RING finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Phrf1 PE=1 SV=2	4	4	1.000	4	4	4.000
115	1	sp|A6H630|ARMT1_MOUSE	 	 	 	 	24.1	439	50548	Protein-glutamate O-methyltransferase OS=Mus musculus OX=10090 GN=Armt1 PE=1 SV=1	7	7	1.000	7	7	7.000
116	1	sp|A6H6A9|RBG1L_MOUSE	 	 	 	 	3.8	815	92403	Rab GTPase-activating protein 1-like OS=Mus musculus OX=10090 GN=Rabgap1l PE=1 SV=1	3	3	1.000	3	3	3.000
117	1	sp|A6H8H2|DEN4C_MOUSE	 	 	 	 	7.6	1906	211456	DENN domain-containing protein 4C OS=Mus musculus OX=10090 GN=Dennd4c PE=1 SV=1	12	12	1.000	12	12	12.000
118	1	sp|A6X919|D19L1_MOUSE	 	 	 	 	5.9	746	84186	Probable C-mannosyltransferase DPY19L1 OS=Mus musculus OX=10090 GN=Dpy19l1 PE=1 SV=1	3	3	1.000	3	3	3.000
119	1	sp|A6X935|ITIH4_MOUSE	 	 	 	 	1.7	942	104658	Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus OX=10090 GN=Itih4 PE=1 SV=2	2	2	1.000	2	2	2.000
120	1	sp|A8C756|THADA_MOUSE	 	 	 	 	2.2	1938	217287	Thyroid adenoma-associated protein homolog OS=Mus musculus OX=10090 GN=Thada PE=1 SV=1	4	4	1.000	4	4	4.000
121	1	sp|A8Y5H7|S14L1_MOUSE	 	 	 	 	6.6	715	81215	SEC14-like protein 1 OS=Mus musculus OX=10090 GN=Sec14l1 PE=1 SV=1	5	5	1.000	5	5	5.000
