New PAW TMT results file!																												
"Program ""PAW_protein_grouper.py"" run on Fri Feb  8 15:55:01 2019"																		Media_2.1		Exo_2.1		Exo_2.2	Media_2.2	Exo_3.1		Exo_3.2	Media_3.2	
5486	1	sp|P16858|G3P_MOUSE_family	 	sp|P16858|G3P_MOUSE&tr|V9GX06|V9GX06_MOUSE&sp|Q64467|G3PT_MOUSE	"sp|P16858|G3P_MOUSE&tr|V9GX06|V9GX06_MOUSE&sp|Q64467|G3PT_MOUSE, tr|S4R1W1|S4R1W1_MOUSE"	 	'(75.7)	'(333)	'(35810)	'(Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=2)	318	30	0.094	318	30	217.826	30	"426,465"	"2,964"	"409,655"	"5,158"	"332,404"	"585,669"	"599,443"	"33,040"	"714,412"	"516,279"	"6,969"
4934	1	sp|Q9QXS1|PLEC_MOUSE	 	 	"sp|Q8R0W0|EPIPL_MOUSE, sp|Q9QXS1|PLEC_MOUSE, sp|Q9QXZ0|MACF1_MOUSE"	 	46.8	4691	534181	Plectin OS=Mus musculus OX=10090 GN=Plec PE=1 SV=3	306	302	0.987	306	302	305.802	302	"2,339,011"	"157,952"	"2,301,094"	"19,065"	"1,916,162"	"2,883,565"	"2,896,895"	"143,468"	"3,399,290"	"2,665,745"	"40,518"
5458	1	tr|S4R1W1|S4R1W1_MOUSE	 	 	"sp|P16858|G3P_MOUSE, sp|Q64467|G3PT_MOUSE, tr|S4R1W1|S4R1W1_MOUSE, tr|V9GX06|V9GX06_MOUSE"	 	72.4	333	35812	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gm3839 PE=1 SV=1	304	16	0.053	304	16	116.174	16	"199,127"	150	"181,635"	536	"146,841"	"254,407"	"256,687"	"12,645"	"295,329"	"233,379"	"3,030"
827	1	sp|P26039|TLN1_MOUSE	 	 	"sp|P26039|TLN1_MOUSE, sp|Q71LX4|TLN2_MOUSE"	 	52.1	2541	269818	Talin-1 OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=2	300	256	0.853	300	256	299.49	256	"3,499,297"	"191,519"	"3,103,425"	"41,916"	"2,514,037"	"4,332,790"	"3,628,401"	"207,498"	"4,219,470"	"3,571,402"	"40,472"
638	1	sp|P11247|PERM_MOUSE	 	 	"sp|P11247|PERM_MOUSE, sp|P49290|PERE_MOUSE"	 	61.3	718	81181	Myeloperoxidase OS=Mus musculus OX=10090 GN=Mpo PE=1 SV=2	286	255	0.892	286	255	279.626	255	"4,441,258"	"237,243"	"3,367,849"	"64,076"	"3,206,321"	"5,784,287"	"4,165,247"	"274,648"	"4,620,729"	"3,109,201"	"55,550"
5472	1	sp|Q5SX39|MYH4_MOUSE_family	 	sp|Q5SX39|MYH4_MOUSE&sp|Q91Z83|MYH7_MOUSE	"sp|P13541|MYH3_MOUSE, sp|P13542|MYH8_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q5SX39|MYH4_MOUSE&sp|Q91Z83|MYH7_MOUSE, sp|Q5SX40|MYH1_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q8VDD5|MYH9_MOUSE&sp|O08638|MYH11_MOUSE, tr|B1AR69|B1AR69_MOUSE, tr|G3UW82|G3UW82_MOUSE"	 	'(52.6)	'(1939)	'(222856)	'(Myosin-4 OS=Mus musculus OX=10090 GN=Myh4 PE=2 SV=1)	273	53	0.194	273	53	183.254	53	"34,515"	"6,884"	"59,443"	150	"57,883"	"51,455"	"1,546,460"	150	"1,143,245"	"79,319"	"19,175"
1973	1	sp|Q5SX40|MYH1_MOUSE	 	 	"sp|O08638|MYH11_MOUSE, sp|P13541|MYH3_MOUSE, sp|P13542|MYH8_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q5SX39|MYH4_MOUSE, sp|Q5SX40|MYH1_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q8VDD5|MYH9_MOUSE, sp|Q91Z83|MYH7_MOUSE, tr|B1AR69|B1AR69_MOUSE, tr|G3UW82|G3UW82_MOUSE"	 	52.1	1942	223340	Myosin-1 OS=Mus musculus OX=10090 GN=Myh1 PE=1 SV=1	250	16	0.064	250	16	66.983	16	"11,398"	"1,348"	"9,252"	150	"20,300"	"18,929"	"684,824"	150	"495,867"	"79,603"	"11,569"
5465	1	sp|P20152|VIME_MOUSE_family	 	sp|P20152|VIME_MOUSE&sp|P15331|PERI_MOUSE	"CONT_049|gi|88052|pir||A32568, CONT_073|gi|87303|pir||JS0487, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN&CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, sp|P20152|VIME_MOUSE&sp|P15331|PERI_MOUSE, sp|P31001|DESM_MOUSE, sp|Q3UV17|K22O_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE"	 	'(76.0)	'(466)	'(53687)	'(Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3)	249	201	0.807	249	201	246.564	201	"2,883,484"	"177,904"	"3,183,218"	"41,823"	"2,495,873"	"3,776,824"	"3,644,659"	"264,373"	"4,749,848"	"3,956,951"	"45,297"
5481	1	sp|P05213|TBA1B_MOUSE_family	 	sp|P05213|TBA1B_MOUSE&sp|P68369|TBA1A_MOUSE&sp|P05214|TBA3_MOUSE	"sp|P05213|TBA1B_MOUSE&sp|P68369|TBA1A_MOUSE&sp|P05214|TBA3_MOUSE, sp|P68368|TBA4A_MOUSE, sp|P68373|TBA1C_MOUSE, sp|Q3UX10|TBAL3_MOUSE, sp|Q9JJZ2|TBA8_MOUSE"	 	'(57.9)	'(451)	'(50151)	'(Tubulin alpha-1B chain OS=Mus musculus OX=10090 GN=Tuba1b PE=1 SV=2)	247	19	0.077	247	19	115.059	19	978	150	783	150	483	"2,076"	908	150	848	704	150
644	1	sp|P11499|HS90B_MOUSE	 	 	"sp|P07901|HS90A_MOUSE, sp|P08113|ENPL_MOUSE, sp|P11499|HS90B_MOUSE, sp|Q9CQN1|TRAP1_MOUSE"	 	56.5	724	83280	Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3	239	123	0.515	239	123	179.532	123	"3,366,651"	"45,721"	"1,262,108"	"55,790"	"961,320"	"4,361,555"	"1,059,435"	"198,947"	"1,298,589"	"2,463,289"	"13,070"
2094	1	sp|Q61233|PLSL_MOUSE	 	 	"sp|Q3V0K9|PLSI_MOUSE, sp|Q61233|PLSL_MOUSE, sp|Q99K51|PLST_MOUSE"	 	71.3	627	70148	Plastin-2 OS=Mus musculus OX=10090 GN=Lcp1 PE=1 SV=4	231	199	0.861	231	199	230.507	199	"3,373,347"	"129,754"	"3,046,725"	"40,057"	"2,391,523"	"3,648,114"	"4,192,235"	"235,217"	"4,386,946"	"3,396,864"	"36,463"
1344	1	sp|P62806|H4_MOUSE	 	 	 	 	60.2	103	11367	Histone H4 OS=Mus musculus OX=10090 GN=Hist1h4a PE=1 SV=2	230	230	1	230	230	230	230	"13,495,277"	"1,007,406"	"10,708,261"	"250,967"	"10,038,351"	"15,061,420"	"11,729,093"	"720,473"	"12,363,760"	"10,311,058"	"117,522"
4786	1	sp|Q9JHU4|DYHC1_MOUSE	 	 	 	 	36.5	4644	532039	Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2	229	229	1	229	229	229	229	"2,433,492"	"89,953"	"1,925,440"	"17,314"	"1,584,021"	"3,006,234"	"2,151,239"	"135,071"	"2,457,952"	"2,389,475"	"17,257"
5485	1	sp|P63017|HSP7C_MOUSE_family	 	sp|P63017|HSP7C_MOUSE&sp|P16627|HS71L_MOUSE	"sp|P17156|HSP72_MOUSE, sp|P17879|HS71B_MOUSE, sp|P20029|BIP_MOUSE, sp|P38647|GRP75_MOUSE, sp|P63017|HSP7C_MOUSE&sp|P16627|HS71L_MOUSE"	 	'(64.4)	'(646)	'(70870)	'(Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1)	228	158	0.693	228	158	214.265	158	"6,661,966"	"98,430"	"3,484,556"	"123,550"	"2,489,135"	"8,390,546"	"3,165,318"	"459,468"	"3,672,089"	"5,172,535"	"29,395"
577	1	sp|P07901|HS90A_MOUSE	 	 	"sp|P07901|HS90A_MOUSE, sp|P11499|HS90B_MOUSE, sp|Q9CQN1|TRAP1_MOUSE"	 	60.4	733	84787	Heat shock protein HSP 90-alpha OS=Mus musculus OX=10090 GN=Hsp90aa1 PE=1 SV=4	227	121	0.533	227	121	172.469	121	"2,766,231"	"60,418"	"1,476,949"	"37,900"	"1,108,477"	"3,351,867"	"1,347,174"	"173,020"	"1,481,545"	"2,077,127"	"7,522"
5483	1	sp|P10853|H2B1F_MOUSE_family	 	sp|P10853|H2B1F_MOUSE&sp|Q64524|H2B2E_MOUSE	 	 	'(43.7)	'(126)	'(13936)	'(Histone H2B type 1-F/J/L OS=Mus musculus OX=10090 GN=Hist1h2bf PE=1 SV=2)	227	227	1	227	227	227	227	"10,015,946"	"383,772"	"8,051,661"	"168,441"	"7,268,591"	"12,372,382"	"8,914,210"	"784,755"	"9,633,433"	"8,243,952"	"54,046"
5368	1	tr|G3UW82|G3UW82_MOUSE	 	 	"sp|O08638|MYH11_MOUSE, sp|P13541|MYH3_MOUSE, sp|P13542|MYH8_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q5SX39|MYH4_MOUSE, sp|Q5SX40|MYH1_MOUSE, sp|Q61879|MYH10_MOUSE, sp|Q8VDD5|MYH9_MOUSE, sp|Q91Z83|MYH7_MOUSE, tr|B1AR69|B1AR69_MOUSE, tr|G3UW82|G3UW82_MOUSE"	 	48.3	1942	223217	"MCG140437, isoform CRA_d OS=Mus musculus OX=10090 GN=Myh2 PE=1 SV=1"	225	23	0.102	225	23	82.23	23	"3,363"	"3,925"	"4,148"	150	"9,407"	"4,248"	"316,408"	150	"337,019"	"27,721"	"4,726"
907	1	sp|P31725|S10A9_MOUSE	 	 	 	 	57.5	113	13049	Protein S100-A9 OS=Mus musculus OX=10090 GN=S100a9 PE=1 SV=3	221	221	1	221	221	221	221	"6,309,262"	"104,363"	"6,267,648"	"104,433"	"6,154,168"	"7,777,801"	"7,570,612"	"322,442"	"7,193,052"	"3,926,598"	"70,363"
598	1	sp|P09411|PGK1_MOUSE	 	 	 	 	85.9	417	44550	Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4	215	215	1	215	215	215	215	"8,138,166"	"104,139"	"6,896,793"	"114,455"	"5,432,448"	"9,235,158"	"9,381,734"	"643,524"	"10,483,153"	"8,740,390"	"112,288"
1568	1	sp|P99024|TBB5_MOUSE	 	 	"sp|A2AQ07|TBB1_MOUSE, sp|P68372|TBB4B_MOUSE, sp|P99024|TBB5_MOUSE, sp|Q7TMM9|TBB2A_MOUSE, sp|Q922F4|TBB6_MOUSE, sp|Q9CWF2|TBB2B_MOUSE, sp|Q9D6F9|TBB4A_MOUSE, sp|Q9ERD7|TBB3_MOUSE"	 	70.9	444	49670	Tubulin beta-5 chain OS=Mus musculus OX=10090 GN=Tubb5 PE=1 SV=1	212	26	0.123	212	26	101.487	26	"467,514"	"5,287"	"321,880"	"6,631"	"256,157"	"601,125"	"310,174"	"19,954"	"371,109"	"386,743"	"1,352"
4857	1	sp|Q9JKF1|IQGA1_MOUSE	 	 	"sp|Q3UQ44|IQGA2_MOUSE, sp|Q9JKF1|IQGA1_MOUSE, tr|F8VQ29|F8VQ29_MOUSE"	 	50.8	1657	188740	Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2	211	193	0.915	211	193	207.717	193	"2,498,363"	"130,451"	"2,702,806"	"29,930"	"2,288,997"	"2,929,010"	"3,716,622"	"153,694"	"4,012,029"	"2,792,365"	"41,271"
1411	1	sp|P68373|TBA1C_MOUSE	 	 	"sp|P05213|TBA1B_MOUSE, sp|P05214|TBA3_MOUSE, sp|P68368|TBA4A_MOUSE, sp|P68369|TBA1A_MOUSE, sp|P68373|TBA1C_MOUSE, sp|Q3UX10|TBAL3_MOUSE, sp|Q9JJZ2|TBA8_MOUSE"	 	57.7	449	49909	Tubulin alpha-1C chain OS=Mus musculus OX=10090 GN=Tuba1c PE=1 SV=1	210	15	0.071	210	15	76.64	15	"33,680"	150	"33,462"	150	"31,261"	"41,628"	"34,998"	150	"36,649"	"35,228"	497
5468	1	sp|P68372|TBB4B_MOUSE_family	 	sp|P68372|TBB4B_MOUSE&sp|Q9D6F9|TBB4A_MOUSE	"sp|P68372|TBB4B_MOUSE&sp|Q9D6F9|TBB4A_MOUSE, sp|P99024|TBB5_MOUSE, sp|Q7TMM9|TBB2A_MOUSE&sp|Q9CWF2|TBB2B_MOUSE, sp|Q922F4|TBB6_MOUSE&sp|A2AQ07|TBB1_MOUSE, sp|Q9ERD7|TBB3_MOUSE"	 	'(70.8)	'(445)	'(49830)	'(Tubulin beta-4B chain OS=Mus musculus OX=10090 GN=Tubb4b PE=1 SV=1)	203	21	0.103	203	21	81.327	21	"266,624"	"24,532"	"204,756"	"2,498"	"161,446"	"379,176"	"190,973"	"16,813"	"231,564"	"230,932"	"2,366"
617	1	sp|P10126|EF1A1_MOUSE	 	 	 	 	59.7	462	50113	Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3	194	194	1	194	194	194	194	"6,687,547"	"130,959"	"4,200,601"	"122,754"	"3,186,543"	"8,788,290"	"3,980,261"	"444,684"	"4,807,269"	"5,532,613"	"29,873"
762	1	sp|P20029|BIP_MOUSE	 	 	"sp|P16627|HS71L_MOUSE, sp|P17156|HSP72_MOUSE, sp|P17879|HS71B_MOUSE, sp|P20029|BIP_MOUSE, sp|P63017|HSP7C_MOUSE"	 	54.4	655	72421	Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3	191	173	0.906	191	173	182.05	173	"4,042,319"	"96,520"	"3,562,692"	"58,068"	"2,915,279"	"5,080,601"	"3,608,141"	"290,622"	"4,145,357"	"3,837,259"	"49,039"
5345	1	tr|E9Q616|E9Q616_MOUSE	 	 	 	 	53.9	5656	604246	AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1	187	187	1	187	187	187	187	"2,571,413"	"38,612"	"1,677,909"	"21,228"	"1,242,908"	"3,232,027"	"2,017,553"	"218,926"	"2,372,697"	"4,689,031"	"4,921"
5469	1	sp|Q7TMM9|TBB2A_MOUSE_family	 	sp|Q7TMM9|TBB2A_MOUSE&sp|Q9CWF2|TBB2B_MOUSE	"sp|P68372|TBB4B_MOUSE&sp|Q9D6F9|TBB4A_MOUSE, sp|P99024|TBB5_MOUSE, sp|Q7TMM9|TBB2A_MOUSE&sp|Q9CWF2|TBB2B_MOUSE, sp|Q922F4|TBB6_MOUSE&sp|A2AQ07|TBB1_MOUSE, sp|Q9ERD7|TBB3_MOUSE"	 	'(71.7)	'(445)	'(49906)	'(Tubulin beta-2A chain OS=Mus musculus OX=10090 GN=Tubb2a PE=1 SV=1)	187	21	0.112	187	21	73.72	21	"103,094"	"1,362"	"86,999"	150	"81,488"	"124,736"	"104,118"	"4,988"	"128,956"	"117,176"	150
173	1	sp|E9Q555|RN213_MOUSE	 	 	 	 	27.9	5152	584777	E3 ubiquitin-protein ligase RNF213 OS=Mus musculus OX=10090 GN=Rnf213 PE=1 SV=2	183	183	1	183	183	183	183	"1,997,250"	"132,170"	"1,506,198"	"14,281"	"1,162,217"	"2,434,065"	"1,352,036"	"102,304"	"1,561,675"	"1,769,070"	"10,010"
584	1	sp|P08113|ENPL_MOUSE	 	 	"sp|P08113|ENPL_MOUSE, sp|P11499|HS90B_MOUSE"	 	52.6	802	92475	Endoplasmin OS=Mus musculus OX=10090 GN=Hsp90b1 PE=1 SV=2	179	169	0.944	179	169	174.788	169	"3,193,257"	"138,187"	"2,582,927"	"43,631"	"2,151,928"	"3,999,386"	"2,689,130"	"218,283"	"3,216,356"	"3,249,698"	"38,746"
829	1	sp|P26041|MOES_MOUSE	 	 	"sp|P26040|EZRI_MOUSE, sp|P26041|MOES_MOUSE, sp|P26043|RADI_MOUSE"	 	74	577	67766	Moesin OS=Mus musculus OX=10090 GN=Msn PE=1 SV=3	175	131	0.749	175	131	165.294	131	"1,270,159"	"219,489"	"1,620,588"	"25,090"	"1,364,471"	"1,792,505"	"2,199,370"	"98,358"	"2,894,608"	"1,422,883"	"42,975"
1408	1	sp|P68368|TBA4A_MOUSE	 	 	"sp|P05213|TBA1B_MOUSE, sp|P05214|TBA3_MOUSE, sp|P68368|TBA4A_MOUSE, sp|P68369|TBA1A_MOUSE, sp|P68373|TBA1C_MOUSE, sp|Q3UX10|TBAL3_MOUSE, sp|Q9JJZ2|TBA8_MOUSE"	 	54.7	448	49924	Tubulin alpha-4A chain OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1	171	16	0.094	171	16	63.551	16	"373,237"	"5,765"	"309,423"	"6,196"	"224,681"	"494,596"	"301,446"	"29,398"	"331,634"	"279,808"	924
2279	1	sp|Q68FD5|CLH1_MOUSE	 	 	 	 	47.3	1675	191554	Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3	169	169	1	169	169	169	169	"3,058,628"	"135,020"	"2,395,272"	"40,726"	"1,993,507"	"3,595,443"	"2,600,578"	"196,637"	"2,936,218"	"3,031,445"	"36,634"
977	1	sp|P40142|TKT_MOUSE	 	 	 	 	77.2	623	67630	Transketolase OS=Mus musculus OX=10090 GN=Tkt PE=1 SV=1	164	164	1	164	164	164	164	"3,556,063"	"53,282"	"2,746,689"	"54,330"	"2,240,814"	"4,473,320"	"3,132,941"	"226,984"	"3,529,111"	"2,863,401"	"24,626"
1218	1	sp|P58252|EF2_MOUSE	 	 	"sp|O08810|U5S1_MOUSE, sp|P58252|EF2_MOUSE"	 	59.6	858	95313	Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2	161	157	0.975	161	157	160.094	157	"5,063,492"	"116,138"	"2,362,272"	"81,147"	"1,680,088"	"6,171,257"	"2,066,335"	"296,718"	"2,411,077"	"3,756,601"	"23,171"
1588	1	sp|Q01853|TERA_MOUSE	 	 	"sp|Q01853|TERA_MOUSE, sp|Q3UMC0|AFG2H_MOUSE"	 	64.1	806	89321	Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4	160	153	0.956	160	153	159.47	156	"2,715,578"	"100,872"	"1,611,279"	"42,559"	"1,220,378"	"3,477,421"	"1,480,600"	"176,708"	"1,676,351"	"2,263,884"	"13,454"
616	1	sp|P10107|ANXA1_MOUSE	 	 	"sp|A2BH40|ARI1A_MOUSE, sp|P10107|ANXA1_MOUSE"	 	80.6	346	38734	Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2	158	151	0.956	158	151	157.181	151	"3,018,264"	"84,924"	"2,873,142"	"40,679"	"2,597,527"	"3,695,851"	"3,732,471"	"213,717"	"4,178,791"	"2,809,486"	"45,652"
595	1	sp|P09103|PDIA1_MOUSE	 	 	 	 	69.2	509	57058	Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2	155	155	1	155	155	155	155	"3,744,155"	"76,476"	"3,766,249"	"60,520"	"2,992,771"	"4,556,811"	"4,634,537"	"287,787"	"5,379,253"	"3,987,712"	"59,458"
2658	1	sp|Q80X90|FLNB_MOUSE	 	 	"sp|Q80X90|FLNB_MOUSE, sp|Q8BTM8|FLNA_MOUSE, sp|Q8VHX6|FLNC_MOUSE"	 	49.4	2602	277821	Filamin-B OS=Mus musculus OX=10090 GN=Flnb PE=1 SV=3	149	135	0.906	149	135	140.269	135	"1,703,096"	"347,599"	"1,051,876"	"35,828"	"797,799"	"2,323,160"	"763,014"	"103,768"	"875,849"	"1,578,102"	"6,638"
95	1	sp|A2ASS6|TITIN_MOUSE	 	 	 	 	5.2	35213	3906440	Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1	148	148	1	148	148	148	148	"86,196"	"8,694"	"176,839"	496	"144,731"	"133,591"	"896,647"	"1,549"	"725,608"	"117,241"	"3,790"
735	1	sp|P17742|PPIA_MOUSE	 	 	 	 	64	164	17971	Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=2	147	147	1	147	147	147	147	"3,712,994"	"154,117"	"2,149,977"	"46,524"	"1,631,060"	"4,212,418"	"2,159,128"	"239,231"	"2,380,797"	"2,945,910"	"20,087"
750	1	sp|P19096|FAS_MOUSE	 	 	 	 	39.6	2504	272425	Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=2	134	134	1	134	134	134	134	"3,140,318"	"128,001"	"1,048,942"	"33,872"	"775,272"	"4,172,445"	"813,792"	"193,194"	"1,044,065"	"2,761,777"	"4,265"
854	1	sp|P27773|PDIA3_MOUSE	 	 	 	 	66.5	505	56678	Protein disulfide-isomerase A3 OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=2	133	133	1	133	133	133	133	"3,212,229"	"112,762"	"2,870,776"	"52,401"	"2,369,820"	"3,789,747"	"2,921,635"	"224,838"	"3,332,237"	"3,092,589"	"37,033"
557	1	sp|P06151|LDHA_MOUSE	 	 	"sp|P06151|LDHA_MOUSE, sp|P16125|LDHB_MOUSE"	 	68.1	332	36498	L-lactate dehydrogenase A chain OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=3	129	117	0.907	129	117	128.055	117	"3,543,687"	"63,108"	"2,382,590"	"58,080"	"1,704,166"	"4,009,844"	"2,657,094"	"225,269"	"3,087,124"	"3,297,016"	"10,116"
844	1	sp|P27005|S10A8_MOUSE	 	 	 	 	95.5	89	10294	Protein S100-A8 OS=Mus musculus OX=10090 GN=S100a8 PE=1 SV=3	128	128	1	128	128	128	128	"889,644"	"13,341"	"886,547"	"13,046"	"844,035"	"1,164,199"	"1,128,376"	"61,130"	"1,071,222"	"604,212"	"11,755"
